ts	phase	decision	why	evidence	result
2026-09-05	frame	Use one current checkout and disjoint worker files	Avoid temporary worktrees and stale builds from different checkouts	docs/plans/21-recording-coordination.md	Implementation started
2026-09-05	proof	Maintain actual built-binary CLI toggle tests	Library controls alone missed a toggle regression	src-tauri/tests/cli_rec.rs	10 targeted CLI tests pass
2026-09-05	proof	Maintain an isolated real Tauri probe	Preview and mocked IPC do not prove native command contracts	scripts/verify-recording-native.py; baseline.json	10 native contract checks pass before recording refactor
2026-09-05	design	Compose existing Session with the held lease in a private publication owner	Remove separate transition and publication decisions without another phase machine	crates/echo/src/rec.rs	Selected over free transition helpers and larger run facade
2026-09-05	design	Validate scoped active status against the live lease	Desktop PID outlives a failed worker; PID checks alone leave stale active state	crates/echo/src/status.rs	Implement and verify same-process lease-loss recovery
2026-09-05	publication	Publish Injecting before the effect and validate active status against its lease	A live desktop PID can outlast a failed recording worker	crates/echo/src/rec.rs; crates/echo/src/status.rs	Blocked-effect and real filesystem-fault tests pass
2026-09-05	ordering	Centralize intent receipts and frontend observation acceptance	Preserve distinct session revisions and command epochs without a global queue	frontend/src/app/recordingObservation.ts; crates/echo/src/rec.rs	Existing ordering regressions and full suites pass
2026-09-05	native	Isolate portal test config and model directories	The older fixture read host configuration and timed out	src-tauri/src/shortcuts.rs	Private-bus portal routing passes with isolated state
2026-09-05	verification	Reject missing or stale native proof and run it in CI	A perf-only response must not pass the recording contract gate	scripts/test_recording_native.py; .github/workflows/check.yml	Five evidence-gate tests and ten native contracts pass
2026-09-05	transport	Retain scoped file intents and serial polling	Synthetic results do not demonstrate a transport problem worth another protocol	baseline.json; verification.json	No daemon, socket, event-replay layer, or new runtime added
2026-09-05	acceptance	Leave physical desktop and elapsed routine-use sign-off open	Synthetic probes cannot establish hardware behavior or a week of use	implementation.md	Automated verification complete; product acceptance pending
