ts	phase	decision	why	evidence	result
2026-08-23T05:59:52Z	frame	combine clear microphone choice with self-contained Linux setup in v0.7.0	both problems block a new user before the first dictation	user request	in progress
2026-08-23T06:05:00Z	research	upgrade the microphone design around stable device identity and structured descriptions	CPAL 0.18 exposes IDs and metadata while Echo 0.15 stores ambiguous names	CPAL v0.18.2 traits and device_description.rs	VERIFIED
2026-08-23T06:09:00Z	research	pin official Linux x64 runtimes and the official Parakeet model	upstream publishes versioned archives with GitHub SHA-256 digests	whisper.cpp v1.9.2; sherpa-onnx v1.13.6; sherpa asr-models	VERIFIED
2026-08-23T06:12:09Z	frame	define done as a clean Linux x64 user reaching ready state without PATH tools and clearly choosing a tested microphone	the real exit condition is one successful dictation with inspectable component state	.audit/v07-onboarding.tsv	framed
2026-08-23T06:34:50Z	design	choose candidate C's first-run experience with candidate D's smaller installer implementation	four complete candidates and an independent judge tied safety to visible user state without building a package manager	/tmp/echo-v07-architect/judge.md; docs/plans/07-first-run-readiness/overview.md	VERIFIED
2026-08-23T06:39:00Z	prototype	use guided steps on Home and visible rows in Settings	three driven variants showed compact disclosure hides the microphone list while one layout cannot serve both contexts	/tmp/echo-v07-ui-prototype	VERIFIED
2026-08-23T06:38:04Z	baseline	capture the eight-test hardware-free audio baseline before CPAL migration	phase one needs a before-and-after check on the real audio module	cargo test -p echo audio::tests	8 passed
2026-08-23T06:41:00Z	ui	use a two-step microphone and speech flow on Home with always-visible rows in Settings	the chosen prototypes keep first run focused without hiding connected microphones	/tmp/echo-v07-ui-prototype	VERIFIED
2026-08-23T06:44:00Z	catalog	use the audited extracted archives as the source for generated runtime payload metadata	compiled inner hashes and symlink rules must come from the pinned artifacts, not guessed filenames	/var/folders/ph/ypnbw6f11qd1s2j_df2rvzgc0000gn/T/echo-runtime-probe.a1PjGa	VERIFIED
2026-08-23T06:47:00Z	microphone	lock duplicate legacy labels down as an ambiguous state before implementing ID resolution	first-match name selection is the bug and the pure table is its smallest executable proof	cargo test -p echo microphone::tests::duplicate_legacy_names_are_ambiguous	failed on placeholder resolver as expected
2026-08-23T06:52:00Z	microphone	change the frontend contract to tagged snapshots before replacing the select	the type checker should identify every old name-based consumer	frontend npm run build	failed on listInputDevices and Settings.microphone consumers as expected
2026-08-23T06:59:50Z	microphone	ship CPAL 0.18 stable IDs, exact tests, truthful fallback, and visible radio rows	one tagged selection now drives config, recording, IPC, and React	cargo targeted tests and clippy; Node 22 tests, lint, typecheck, build	VERIFIED
2026-08-23T07:04:40Z	microphone	fix five review findings and the live-preview radio sizing bug	disconnected IDs, first-input fallback, readiness, safe labels, env locks, and native radio size are contract details rather than polish	focused Rust tests, clippy, Node 22 App tests, lint, build	VERIFIED
2026-08-23T07:18:00Z	installer	correct the Parakeet archive digest from the 63-character grounding value	the local pinned archive hashes to a 64-character digest ending in bf	shasum -a 256 parakeet.tar.bz2; install catalog test	VERIFIED
2026-08-23T07:19:00Z	installer	build the closed SHA-256 installer around stable partials and immutable unique generations	cancel, restart, repair, and removal must converge without touching external files	17 install tests; cargo clippy -p echo --all-targets -- -D warnings	VERIFIED
2026-08-23T07:28:00Z	resolver	merge healthy managed components ahead of current PATH and manual fallbacks while leasing only selected paths	prepared transcription must close removal races without locking unrelated components	runtime/resolver tests; verify-transcribe-cli.sh; CLI and recorder integration tests	VERIFIED
2026-08-23T08:07:00Z	first-run	connect one setup service and readiness snapshot to guided Home steps and detailed Settings rows	the UI now exposes disk admission, progress, resume, repair, removal, external inputs, and unsupported guidance from one backend truth	Node 22 70 tests, typecheck, lint, build; focused first-run, transcribe CLI, and fixed-toggle scripts; workspace clippy	VERIFIED
2026-08-23T08:36:00Z	review	accept cancellation, integrity, recovery, config race, progress, capacity, and module-size findings	four pstack reviewers independently found concrete paths that could activate after cancellation, hide corruption, delete live staging, lose settings, or overload readiness scans	.audit/v07-interrogate.md	FIXED
2026-08-23T08:38:00Z	review	use managed-first deduplication instead of origin-qualified model config	the bug is duplicate same-name resolution and one precedence rule removes it without a config migration	runtime regression test for explicit same-name selection	VERIFIED
2026-08-23T08:39:00Z	review	dismiss a same-user managed-cache symlink threat as outside the privilege boundary	a process running as the same user can already mutate the same files and the closed archive extractor rejects unpinned paths	.audit/v07-interrogate.md	DISMISSED
2026-08-23T08:40:00Z	hardening	persist repair markers and verified payload fingerprints by metadata	managed files get full SHA-256 at install or explicit verification and again after metadata changes without hashing large models on every dictation	20 installer tests; persistent-stamp and corruption-fallback tests	VERIFIED
2026-08-23T08:46:04Z	ui	verify the final guided flow with recognizable earbuds and a successful microphone test in light, dark, and 720px layouts	the release UI must prove the requested device switch and setup state outside component tests	/Users/vriesd/.t3/userdata/browser-artifacts/browser-recording-mt5kbmzt.mp4	VERIFIED
2026-08-23T08:51:00Z	verification	fix two full-workspace portability failures instead of accepting a narrower green gate	process liveness assumed Linux procfs and a PATH-order assertion compared canonical macOS paths with noncanonical temp paths	workspace failure output; focused rec and upgrade regression tests	FIXED
2026-08-23T08:55:00Z	release	close the v0.7 local release gate at package version 0.7.0	the original frame requires a clean build and one auditable version before PR automation begins	70 frontend tests; workspace tests; workspace clippy; first-run, transcribe, and fixed-toggle scripts; release build; xtask drift; echo-desktop --version	VERIFIED
2026-08-23T09:12:00Z	pr-review	refresh Home readiness after microphone changes and persist verification stamps across shortcut processes	both Codex P2 comments traced reachable stale UI and repeated whole-model hashing paths	PR 48 discussion_r3838136035 and discussion_r3838136038; 53 App tests; installer and runtime tests	FIXED
