ts	phase	decision	why	evidence	result
2026-08-22T23:34:17Z	frame	remove push-to-talk and shortcut customization while retaining one fixed toggle	this is the smallest product that matches the requested behavior and keeps the proven desktop integrations	README.md:3, src-tauri/src/main.rs:26	open
2026-08-22T23:35:55Z	baseline	captured pre-change test failures before editing	frontend tests fail under Node 25 because localStorage is not implemented and cargo needs a built frontend	frontend/src/App.test.tsx:29, src-tauri/tauri.conf.json	NOT VERIFIED
2026-08-22T23:38:30Z	baseline	built the frontend and reran the Rust baseline	frontend build passes; Rust has three pre-existing parallel isolation failures	frontend/dist, crates/echo/src/rec.rs:536, crates/echo/src/upgrade.rs:330	107 passed, 3 failed, 1 ignored
2026-08-22T23:44:26Z	baseline	ran frontend tests with supported Node 22	Node 25 breaks jsdom localStorage on this host; Node 22 is the project-compatible check	frontend/src/App.test.tsx	66 passed
2026-08-22T23:47:14Z	design	selected typed fixed policy and tagged public status while preserving the existing lifecycle shell	four architecture candidates agreed on the invariant; the cross-judge favored the typed model and the smallest runtime graft	/tmp/echo-fixed-toggle-architect/synthesis.md	VERIFIED
2026-08-23T00:20:00Z	implementation	removed push-to-talk and shortcut configuration end to end	one code owner migrated the coupled Rust and TypeScript contract and deleted the evdev branch	git diff --stat	about 3700 lines deleted
2026-08-23T00:33:34Z	review	fixed truthfulness and verification findings from the four-model review	all reviewers found GNOME readiness or attribution gaps; manual setup no longer claims an observed binding and native verification pins source plus identity	frontend/src/shortcut.ts, frontend/src/App.tsx, src-tauri/src/main.rs	VERIFIED
2026-08-23T00:35:32Z	verification	ran frontend, Rust, CLI, dependency, reference, formatting, and live UI checks	checked the built code and browser preview rather than relying on the implementation report	frontend tests, cargo test -p echo-desktop, cargo clippy, T3 preview	VERIFIED with two pre-existing macOS workspace failures
2026-08-23T00:17:05Z	backend	removed hold recording, raw-input fallback, and mutable shortcut settings before adding the fixed state model	deletion first left one lifecycle and one binding to reason about	crates/echo/src/hotkey.rs, src-tauri/src/main.rs	VERIFIED
2026-08-23T00:17:05Z	frontend	migrated every shortcut consumer to one exhaustive presenter and isolated setup loading	shortcut setup must remain usable when unrelated settings probes fail	frontend/src/shortcut.ts, frontend/src/App.test.tsx	64 tests passed
2026-08-23T00:17:05Z	verification	ran frontend build, Node 22 tests, lint, desktop unit tests, workspace tests, clippy, dependency tree, and reference audit	direct gates cover both product surfaces and removed dependencies	frontend, cargo test output, cargo tree	workspace has only 2 known macOS failures
2026-08-23T00:17:05Z	host-limit	private portal runtime test could not start its isolated bus	dbus-daemon is not installed on this macOS host	src-tauri/src/portal_runtime_tests.rs	INCONCLUSIVE runtime, compiled successfully
2026-08-23T00:38:49Z	audit-correction	treat the four 00:17 rows as backfilled summaries rather than chronological events	the implementation owner appended them after later rows with an earlier timestamp	.audit/fixed-toggle.tsv	corrected by this append-only row
2026-08-23T00:38:49Z	verification	added and ran one durable fixed-toggle verification command	the earlier command-name evidence was not independently rerunnable	scripts/verify-fixed-toggle.sh	VERIFIED
2026-08-23T00:38:49Z	host-limit	real portal consent, X11 grabs, and GNOME dconf writes remain host-limited	the macOS host can compile and unit-test those paths but cannot exercise Linux desktop integration	src-tauri/src/portal_runtime_tests.rs, src-tauri/src/main.rs	INCONCLUSIVE live Linux runtime
2026-08-23T00:38:49Z	completion	met the fixed-toggle predicate with two unchanged macOS-only workspace failures	frontend, desktop, lint, clippy, dependency, CLI, reference, formatting, and preview gates pass	scripts/verify-fixed-toggle.sh, cargo test --workspace	VERIFIED
2026-08-23T00:41:10Z	audit-correction	superseded weak command-name and stale line-number evidence with one verification record	the cross-model audit correctly found that earlier pointers did not independently prove the results	.audit/fixed-toggle-verification.md	VERIFIED
2026-08-23T00:41:10Z	ui-evidence	recorded active, GNOME-ready, and manual shortcut presentation states	the prior T3 preview claim had no durable artifact	/Users/vriesd/.t3/userdata/browser-artifacts/browser-recording-mt52zges.mp4	VERIFIED
