ts	phase	decision	why	evidence	result
2026-08-24T12:44:03Z	frame	set quality-preserving latency gates before implementation	performance work must not make the preferred multilingual model less accurate	docs/plans/12-whisper-performance/overview.md	open
2026-08-24T12:44:03Z	architecture	selected one typed execution plan and a conditional cross-process broker	one owner prevents CLI and server tuning drift, and separate GNOME processes require cross-process residency	docs/plans/12-whisper-performance/architecture.md	accepted design
2026-08-24T12:44:03Z	delivery	created a feature branch and kept the audit trail in the reviewable diff	the user asked for the same PR, CI, merge, tag, and release workflow	branch codex/whisper-performance-v0.11.0	in progress
2026-08-24T12:46:58Z	telemetry	added split cold-run timing and ordered VAD attempt detail without redefining inferMs	old apart WAV work, child wall time, parsing, and the only allowed retry while preserving history compatibility	crates/echo-core/src/engine.rs, src-tauri/tests/cli_whisper_args.rs	focused Rust and CLI tests green
2026-08-24T12:46:58Z	telemetry	limited the no-VAD retry to errors that name VAD, Silero, or voice activity	an unrelated decoder or allocation failure must remain the reported root failure	crates/echo/src/stt/whisper.rs	test green
2026-08-24T12:56:29Z	execution plan	made runtime, model, VAD, protocol, and tuning one typed production decision	kept policy out of callers and preserved managed CPU precedence	crates/echo/src/stt/whisper_plan.rs	focused tests and clippy green
2026-08-24T12:56:29Z	benchmark	expanded cold observations with outer wall time, hashes, host, seed, order, warmups, runtime, tuning, and attempts	cold performance cannot be judged from the old aggregate inferMs alone	scripts/benchmark-stt.py, scripts/verify-stt-benchmark.sh	fake end-to-end verification green
2026-08-24T12:56:29Z	one-shot tuning	did not change the production tuning defaults	this host has no Whisper runtime or model and the two smoke fixtures cannot prove the multilingual quality gate	local runtime and model inventory	INCONCLUSIVE
2026-08-24T12:56:29Z	system acceleration	did not prefer an accelerated system runtime	no system Whisper runtime or target Linux GPU is available for the required real transcription probe	local runtime inventory	INCONCLUSIVE
2026-08-24T13:02:15Z	resident prototype	added whisper-server to the pinned managed payload and built a separate first-versus-warm probe	the existing verified archive already contains the server, so the experiment needs no new runtime dependency	scripts/probe-whisper-resident.py, scripts/verify-whisper-runtime-archive.sh	archive install and fake-server cleanup tests green
2026-08-24T13:02:15Z	resident gate	did not build or integrate the cross-process broker	the host cannot run the target Linux Turbo model, so the required 25 percent and 300 ms warm gain is not proven	docs/plans/12-whisper-performance/phase-6-resident-prototype.md	INCONCLUSIVE, phases 7 and 8 skipped
2026-08-24T13:02:15Z	managed acceleration	did not add a GPU runtime component	phase 5 identified no proven backend or target artifact	docs/plans/12-whisper-performance/phase-10-managed-acceleration.md	skipped by gate
2026-08-24T13:02:15Z	product evidence	projected cold mode, runtime source, backend, split timing, decoding values, and VAD retries into Advanced	users need truthful diagnostics without performance knobs in Settings	frontend/src/App.tsx, src-tauri/src/main.rs	Rust projection, typecheck, lint, and 94 frontend tests green
2026-08-24T13:16:11Z	adversarial review	stopped passing assumed thread, beam, and best-of defaults during normal runs	external runtimes own their defaults and no production tuning passed the quality gate	crates/echo/src/stt/whisper_plan.rs, crates/echo/src/stt/whisper.rs	reviewer P1 fixed, focused tests and clippy green
2026-08-24T13:16:11Z	adversarial review	accepted legacy pinned Whisper receipts that differ only by the absent server	v0.10 one-shot managed installs must remain usable, verifiable, and removable after the payload grows	crates/echo/src/install/mod.rs, crates/echo/src/install/tests.rs	reviewer critical finding fixed, regression green
2026-08-24T13:16:11Z	adversarial review	rejected unsupported VAD flags and narrowed retry to VAD model or context runtime failures	an incompatible external CLI must not silently disable VAD	crates/echo/src/stt/whisper.rs	reviewer warning fixed, regression green
2026-08-24T13:16:11Z	adversarial review	exercised the full resident probe success, exit-before-ready, and request-failure paths	cleanup evidence must cover the lifecycle wrapper rather than unrelated helper processes	scripts/probe-whisper-resident.py	reviewer P2 fixed, spawned processes reaped and partial reports absent
2026-08-24T13:16:11Z	adversarial review	kept the public with_paths constructor and verified Linux listener ownership before upload	minor releases should not break library callers, and readiness must belong to the spawned process	crates/echo/src/stt/whisper.rs, scripts/probe-whisper-resident.py	reviewer P2 and P3 fixed
2026-08-24T13:19:01Z	post-fix review	kept fallback for an exact unsupported VAD flag error	older system runtimes remain supported when their only incompatibility is optional VAD, while unrelated failures still surface	crates/echo/src/stt/whisper.rs	post-fix compatibility finding accepted
2026-08-24T13:22:32Z	post-fix review	narrowed the documented retry contract to exact implemented error classes	release notes must name VAD model or context failure, failed VAD computation, and exact unsupported flags instead of broad wording	CHANGELOG.md, crates/echo/src/stt/whisper.rs	documentation matches tests
2026-08-24T13:22:32Z	post-fix review	removed the unsupported no-context server flag	the pinned v1.9.2 binary keeps previous context disabled internally but does not expose that command-line option	scripts/probe-whisper-resident.py, docs/plans/12-whisper-performance/phase-6-resident-prototype.md	artifact strings and pinned source verified
2026-08-24T13:23:08Z	verification	ran the complete Rust, frontend, CLI, benchmark, responsive, pinned archive, and release-build gate after review fixes	the release must be proven from the final code rather than pre-review results	.github/workflows/check.yml, scripts/verify-transcribe-cli.sh, scripts/verify-stt-benchmark.sh, scripts/verify-whisper-runtime-archive.sh	all available checks green
