ts	phase	decision	why	evidence	result
2026-09-05T18:39:16Z	baseline	Preserve Plan 21 and record the unchanged native baseline	The plan starts at the current main commit; synthetic verification does not close physical desktop acceptance	/tmp/echo-containment-native-before.json	VERIFIED: ten native contracts, source unchanged during run
2026-09-05T18:39:16Z	health	Delete HEALTH and seed HealthCacheState directly in tests	One existing cache already owns freshness and generation rejection	ba0edc9; /tmp/echo-containment-status-after.log; /tmp/echo-containment-gnome.log	VERIFIED: 20 status tests and 7 GNOME tests passed; independent review found no blockers
2026-09-05T18:39:16Z	platform	Keep insertion readiness and command attempt policies separate	Readiness observes tool presence; targeted insertion and fallible fallback attempts have different eligibility	crates/echo/src/inject.rs	KEEP: no equivalent complete decision established
2026-09-05T18:39:16Z	compatibility	Retain legacy recording formats, X11, portal fallback, and CPU recovery	No support cutoff is authorized; these paths retain distinct capabilities	docs/plans/22-complexity-containment/compatibility.md	KEEP: explicit retirement conditions recorded
2026-09-05T18:50:58Z	settings	Reuse one runtime inventory across settings and readiness projections	The complete unavailable response collected six inventories and seven model scans; raw external and managed facts must remain distinguishable	/tmp/echo-containment-settings-before.json; scripts/verify-settings-collections.py; /tmp/echo-containment-settings-after.json	VERIFIED: nine isolated cases have one model scan and eight status checks
2026-09-05T18:50:58Z	paths	Keep validated managed roots as PathBuf until display projection	Reconstructing a runtime path from the display string would lose non-UTF-8 bytes	crates/echo/src/stt/runtime.rs	VERIFIED: non-UTF-8 root, display serialization, and lease test pass
2026-09-05T18:50:58Z	audit	Preserve baseline and review findings in the repository	Initial audit identified temporary evidence links and the native dirty-tree marker	docs/plans/22-complexity-containment/native-before.json; docs/plans/22-complexity-containment/review.md	Baseline source unchanged during run; only original plan untracked; physical acceptance remains open
2026-09-05T19:09:46Z	verification	Retain the existing deadline assertion and rerun without competing builds	The first workspace run exceeded a wall-time bound; the unchanged isolated test and complete low-concurrency run passed	docs/plans/22-complexity-containment/verification.json	VERIFIED: 530 Rust tests passed; 17 ignored; initial timing failure recorded
2026-09-05T19:09:46Z	verification	Preserve final settings and native evidence with source and binary identities	The initial temporary logs were unavailable after retry; durable records supersede earlier temporary pointers	docs/plans/22-complexity-containment/settings-before.json; docs/plans/22-complexity-containment/settings-after.json; docs/plans/22-complexity-containment/native-before.json; docs/plans/22-complexity-containment/native-after.json; docs/plans/22-complexity-containment/review.md	VERIFIED: ten settings cases and ten native contracts passed; current-status p95 1 ms
2026-09-05T19:09:46Z	delivery	Keep platform and compatibility paths and leave manual acceptance open	Synthetic checks cannot prove physical desktop behavior or elapsed routine use	docs/plans/22-complexity-containment/compatibility.md; docs/plans/22-complexity-containment/verification.json	Automated implementation complete; physical desktop and routine-use acceptance open
2026-09-05T19:12:10Z	audit	Clarify the nine-case checkpoint and the native sample omission	The nine-case row records an interim run before the English-only rejection case was added; final evidence has ten cases	docs/plans/22-complexity-containment/settings-after.json; docs/plans/22-complexity-containment/review.md	Final result: ten settings cases passed; native per-lane IPC samples omitted and stage measurements retained
