ts	phase	decision	why	evidence	result
2026-08-24T11:00:00+02:00	frame	Treat model quality, Parakeet parsing, and Linux insertion as separate failure domains	Neither engine receives screen content, while History stores engine output before insertion	crates/echo/src/stt, crates/echo/src/inject.rs, crates/echo/src/rec.rs	Do not attribute copied screen text to Parakeet vision or model quality
2026-08-24T11:05:00+02:00	research	Evaluate Large v3 Turbo Q5_0 as the capable-machine default	Small is materially weaker multilingual; Echo already pins the 574 MB Q5 Turbo artifact	docs/plans/11-model-quality-and-reliability/research.md	Arena candidates compare a Turbo-first policy against alternatives
2026-08-24T11:10:00+02:00	reliability	Fix Parakeet output at the subprocess boundary	Pinned sherpa-onnx emits a JSON object; Echo currently returns all successful stdout as transcript	crates/echo/src/stt/parakeet.rs	Require an exact JSON-to-text regression before the adapter change
2026-08-24T11:15:00+02:00	reliability	Prefer correct paste contents over clipboard restoration	ClipboardOnly currently restores the old clipboard and Pasted restores before the target acknowledges the selection	crates/echo/src/inject.rs	Arena candidates must choose an explicit clipboard lifetime invariant
2026-08-24T11:20:00+02:00	design	Recommend Turbo Q5_0 at 8 GiB and keep Engine Auto stable	Turbo has the best supported speed-quality-size balance, but this host cannot measure low-memory peak RSS or justify migrating existing Auto users	docs/plans/11-model-quality-and-reliability/overview.md	New Recommended setups pin Turbo; Base remains the conservative fallback; existing Auto semantics remain compatible
2026-08-24T11:22:00+02:00	reliability	Leave transcript on the clipboard after fallback	One-shot clipboard ownership is not portable across X11 and XWayland, and any restore delay is arbitrary	crates/echo/src/inject.rs	Delete restoration, keep direct typing clipboard-free, prefer session-native write tool
2026-08-24T11:24:00+02:00	settings	Use LanguageOptions.mode as the Settings projection boundary	It is already produced by backend resolution and avoids a new IPC snapshot	frontend/src/App.tsx, crates/echo/src/transcribe.rs	Rename the row to Speech model and render fixed Parakeet metadata when resolved
2026-08-24T11:27:00+02:00	performance	Do not override threads or enable Flash Attention in production	The runtime defaults and optimal thread count vary by CPU; Flash Attention can regress CPU-only builds	docs/plans/11-model-quality-and-reliability/research.md	Keep VAD and Q5 quantization; ship a benchmark lever before adding hardware tuning
2026-08-24T11:35:00+02:00	verification	Run the full local release gate	The change crosses Rust, TypeScript, CLI, archive extraction, and release packaging	cargo test and clippy, frontend test and Playwright, verify scripts, target/release/echo-desktop	All local checks green; real model matrix remains unrun on this macOS host
2026-08-24T11:38:00+02:00	review	Make Parakeet benchmark requests automatic-only	The first adversarial reviewer reproduced that language-labelled fixtures made the documented Parakeet benchmark fail	scripts/benchmark-stt.py self-test, src-tauri/src/cli.rs	Fixed command construction; manifest language remains the reporting group
2026-08-24T11:42:00+02:00	review	Fix mixed Settings state, neutral Parakeet precision copy, and benchmark metric boundaries	Two reviewers traced a model repin window, manual full-precision model mislabel, punctuation silence gap, and invalid WER for no-space languages	frontend/src/App.tsx, scripts/benchmark-stt.py, benchmarks/stt/README.md	Settings updates project together; manual Parakeet copy is neutral; silence uses nonempty text; unsupported WER languages fail clearly
2026-08-24T11:50:00+02:00	delivery	Pin the implementation in four reviewable commits	The trail reviewer correctly flagged that an uncommitted tree was weak evidence	commits 256330c, d4d1127, 5b12dfb, 93fef51	Working tree clean before PR; GitHub checks still pending
