ts	phase	decision	why	evidence	result
2026-08-24T08:37:00+02:00	frame	set a high-rigor installer hotfix predicate	archive extraction is a security and activation boundary, so success must include the pinned artifact and hostile links	pstack figure-it-out framing	in progress
2026-08-24T08:37:00+02:00	reproduction	download and inspect the pinned Whisper 1.9.2 archive	the reported path must be reproduced from the exact bytes Echo installs before changing extraction	/tmp/echo-whisper-archive-PUbhjD/whisper-bin-ubuntu-x64.tar.gz; SHA-256 46811a3e...f753b1	VERIFIED
2026-08-24T08:37:00+02:00	root-cause	treat archive member order as data, not a dependency contract	libwhisper.so appears before its symlink target libwhisper.so.1, and the final regular file appears later; the generator resolves the chain but runtime extraction requires each immediate target to exist already	crates/echo/src/install/extract.rs; scripts/generate-managed-inventory.py; tar -tvzf output	VERIFIED
2026-08-24T08:45:00+02:00	research	keep custom selected extraction and its explicit link boundary	Rust tar documentation supports safe path and link validation, while Echo additionally needs a closed subset and flattened destinations; Ref returned no indexed match, so official docs.rs and pinned local source were read directly	docs/plans/10-whisper-symlink-extraction/grounding.md	VERIFIED
2026-08-24T08:45:00+02:00	architecture	choose complete graph validation before create-all and hash-all	it removes archive-order dependence with one pure helper while private staging and final verification keep transient links unobservable	/tmp/echo-v091-architect/judge.md; docs/plans/10-whisper-symlink-extraction/architecture.md	VERIFIED
2026-08-24T08:45:00+02:00	architecture	record G55 as a design dropout	the runner exceeded the bounded scope and was interrupted; its incomplete temporary artifact did not survive, so no claims or grafts are taken from it	pstack arena run	NOTED
2026-08-24T08:49:00+02:00	tdd	add the reverse-order chained-symlink regression first	the smallest fixture should fail for the same reason as the pinned archive before production code changes	install::extract::tests::chained_symlinks_do_not_depend_on_archive_order	FAILED as expected with symlink target was not extracted
2026-08-24T08:54:00+02:00	implementation	validate the complete selected link graph before materialization	graph closure, cycle checks, and flattened destination checks remove the false archive-order contract without changing installer or activation APIs	crates/echo/src/install/extract.rs	VERIFIED by 7 extraction tests
2026-08-24T08:55:00+02:00	verification	drive the pinned Whisper archive through the normal installer path	the exact bytes users download must pass outer digest admission, extraction, full payload verification, activation, receipt inspection, and later Verify	scripts/verify-whisper-runtime-archive.sh; install::tests::pinned_whisper_runtime_archive_installs	VERIFIED
2026-08-24T08:56:00+02:00	verification	keep the real runtime probe in Linux CI	Mac can prove extraction and activation, while Linux x86_64 can also execute whisper-cli with its extracted shared-library chain	.github/workflows/check.yml; CommandRuntimeProbe	open until CI
2026-08-24T08:59:00+02:00	verification	rerun installer, first-run, workspace, frontend, and release gates	the extraction change must preserve cancellation, resume, checksum, repair, recovery, removal, CLI, UI, and packaging behavior	23 installer tests plus pinned artifact; 139 echo tests; workspace tests; 91 frontend tests; strict clippy; release build	VERIFIED locally
2026-08-24T08:59:00+02:00	release	prepare the narrow v0.9.1 hotfix	the defect blocks every clean managed Whisper setup in v0.9.0, so it warrants a patch release rather than waiting for another feature	Cargo.toml; Cargo.lock; CHANGELOG.md	ready for review
2026-08-24T09:06:00+02:00	interrogation	accept the verification-honesty warning and reject test hooks	the plan claimed cancellation and active-pointer checks at every new post-scan loop, but existing lifecycle tests prove the boundary only at installer phases; add cheap hostile target cases and narrow the prose instead of coupling production to tests	.audit/v091-interrogate.md; crates/echo/src/install/extract.rs; docs/plans/10-whisper-symlink-extraction/testing.md	resolved
2026-08-24T09:09:00+02:00	verification	rerun the final branch after interrogation changes	the exact archive proof, hostile graph cases, full workspace, strict clippy, optimized binary, icon generator, workflow lint, and shell lint must all pass on v0.9.1	139 echo tests plus workspace suites; pinned artifact verifier; cargo clippy; cargo build --release; echo-desktop --version	VERIFIED locally
2026-08-24T09:12:00+02:00	trail-audit	supersede session labels and prose evidence with committed artifacts	the cross-model audit found correct decisions but weak pointers; append durable framing, red-test, verification, and synthesis evidence instead of rewriting earlier rows	docs/plans/10-whisper-symlink-extraction/grounding.md; docs/plans/10-whisper-symlink-extraction/architecture.md; commits 17ebe85 and c9decf0; .audit/v091-local-verification.md	resolved
2026-08-24T09:12:00+02:00	trail-audit	keep Linux runtime execution open until CI	macOS proves the exact archive's extraction and activation but cannot execute its ELF binary; only Ubuntu exact-head CI can close the real probe claim	.audit/v091-trail-review.md; .github/workflows/check.yml	open until CI
2026-08-24T09:22:00+02:00	pr-review	normalize a caller-supplied archive before changing directories	a relative path passed outside the repository existed at the first check but resolved against the repository during the Rust test	discussion r3841376984; scripts/verify-whisper-runtime-archive.sh	fixed
