ts	phase	decision	why	evidence	result
2026-08-24T17:40:00Z	grounding	keep managed CPU one-shot as the universal floor	acceleration quality and host coverage are not yet proven	docs/plans/13-cross-hardware-whisper/overview.md	accepted
2026-08-24T17:45:00Z	comparators	borrow persistent session and TTL mechanics, not universal residency	Handy, Sona/Vibe, Speaches, and Buzz converge on explicit model ownership and memory release but have different process topologies	docs/plans/13-cross-hardware-whisper/research.md	accepted
2026-08-24T17:50:00Z	resident smoke	stop broker work for measured Iris Xe identities	Base gains 29.5 percent but only 137 ms; Turbo gains 3.3 percent and 186 ms	target/resident-vulkan-base-smoke, target/resident-vulkan-turbo-smoke	fails 25 percent plus 300 ms gate
2026-08-24T17:55:00Z	arena	select warmed one-shot plus conditional identity policy	one-host residency must not become a universal daemon; exact evidence may admit it elsewhere	docs/plans/13-cross-hardware-whisper/research.md	independent judge accepted
2026-08-24T18:00:00Z	phase 1	implement observed backend and device truth without selection	cross-hardware policy needs truthful runtime evidence before caching or precedence changes	docs/plans/13-cross-hardware-whisper/architecture.md	parser and diagnostics implemented
2026-08-24T18:05:00Z	shipping boundary	observe the real system Vulkan runtime instead of its unknown discovery label	pinned v1.9.2 completed Turbo in 5644 ms and selected the physical Iris Xe	target/debug/echo-desktop transcribe	backend=vulkan, device=Intel Iris Xe
2026-08-24T18:15:00Z	verification	run the complete product gate before review	Rust workspace, frontend, responsive, settings, first-run, recording, CLI, benchmark, runtime archive, release build, icon, and changelog checks cover the final implementation	local verification	green
2026-08-24T18:15:00Z	verification	reject one unrelated timing flake	stalled-download cancellation missed its 500 ms assertion once under concurrent load, then passed isolated and in the full workspace rerun	crates/echo/src/install/download.rs	no production change
2026-08-24T18:20:00Z	interrogate	require confirmed OpenVINO load before reporting it	OpenVINO prints its device before compile_model and may fall back after failure	crates/echo/src/stt/whisper_probe.rs	P2 fixed
2026-08-24T18:20:00Z	interrogate	prove software-device observation and repair comparator citations	telemetry must expose llvmpipe for later rejection, and architecture sources must be reviewable	parser tests and docs/plans/13-cross-hardware-whisper/research.md	two P2 and one P3 fixed
2026-08-24T18:25:00Z	post-fix review	match exact OpenVINO success and let failure win	unrelated or conflicting log lines must not promote a CPU fallback	crates/echo/src/stt/whisper_probe.rs	P2 fixed
2026-08-24T18:30:00Z	post-fix review	accept the final parser and plan	three independent reviewers found no remaining correctness, compatibility, or research issue	multi-model interrogate	clean
