ts	phase	decision	why	evidence	result
2026-08-24T15:20:00Z	grounding	preserve managed CPU as the production floor	current selection has no real backend probe or same-model accelerated fallback	docs/plans/12-whisper-performance/gpu-research.md	accepted
2026-08-24T15:25:00Z	host	select Vulkan as the first accelerator experiment	Intel Iris Xe, i915, renderD128, and Mesa Vulkan are present; no physical NVIDIA or AMD device	lspci, sysfs, real whisper.cpp startup log	accepted
2026-08-24T15:35:00Z	arena	defer OpenVINO and SYCL; reject CUDA and ROCm on this host	Vulkan has the smallest host-ready dependency surface and can be tested with an exact CPU negative control	docs/plans/12-whisper-performance/gpu-research.md	independent judge accepted
2026-08-24T15:45:00Z	diagnostic	separate first-use and steady cache states	pinned v1.9.2 Iris Xe Vulkan paid a large first-request shader-cache penalty on the 0.4-second fixture	docs/plans/12-whisper-performance/gpu-research.md	smoke only, full gate pending
2026-08-24T15:55:00Z	phase 5A	implement a reusable paired backend-truth probe	performance and fallback work needs rerunnable raw evidence before runtime preference changes	scripts/probe-whisper-acceleration.py	self-test green
2026-08-24T16:05:00Z	phase 5B smoke	retain first-use Mesa cache cost separately from steady one-shot ranking	first Vulkan startup pays shader compilation that later one-shot processes reuse	.audit/whisper-vulkan-iris-xe-v1.9.2-base, .audit/whisper-vulkan-iris-xe-v1.9.2-turbo	warmups retained
2026-08-24T16:10:00Z	phase 5B smoke	accept backend and latency mechanics for Iris Xe	managed Base paired median improved 57.6 percent and 631 ms; Turbo improved 73.6 percent and 15811 ms; all backend, p95, and transcript-parity gates passed	.audit/whisper-vulkan-iris-xe-v1.9.2-base, .audit/whisper-vulkan-iris-xe-v1.9.2-turbo	proceed to full quality gate
2026-08-24T16:10:00Z	phase 5B quality	do not activate Vulkan in production	the committed fixture produced only degenerate nonspeech outputs and cannot prove multilingual WER/CER or silence behavior	docs/plans/12-whisper-performance/testing.md	blocked by stop gate
2026-08-24T16:20:00Z	shipping boundary	keep the system backend labeled unknown until production probing exists	echo-desktop completed the real Turbo transcription in 5856 ms but current inventory cannot prove backend identity to callers	target/release/echo-desktop transcribe with pinned v1.9.2 Vulkan runtime	compatibility passed, Phase 5C still gated
2026-08-24T16:35:00Z	interrogate	record source identity and redact local paths in raw rows	every observation must name the Echo commit/version without publishing the operator's home path	scripts/probe-whisper-acceleration.py, raw JSONL reports	P2 fixed
2026-08-24T16:45:00Z	interrogate	tighten backend and sampling truth	selected Vulkan index, every-row hardware identity, duplicate rejection, ten-pair minimum, self-contained libraries, and managed multilingual Base evidence close valid review gaps	scripts/probe-whisper-acceleration.py, raw JSONL reports	three P1, four P2, and two P3 findings fixed
2026-08-24T16:45:00Z	interrogate	retain non-user system identities	kernel, render node, power state, and ICD manifests are required by the measurement contract; only user-specific paths are redacted	docs/plans/12-whisper-performance/testing.md	P3 privacy suggestion rejected with reason
2026-08-24T16:50:00Z	verification	keep Phase 5C closed while merging Phase 5A tooling	full Rust, frontend, responsive, settings, first-run, recording, CLI, benchmark, runtime archive, release-build, icon, desktop, changelog, probe, and raw-summary checks passed	.github/workflows/check.yml and local verification	green
