ts	phase	decision	why	evidence	result
2026-08-24T21:57:10Z	frame	kept managed CPU as the production default before Phase 3 research	Vulkan was faster on this Intel host but worsened Dutch WER by 9.459 percentage points and lacked cache, reset, driver, and hardware coverage	.audit/whisper-phase2-intel-base/decision.md	STOP remains in force
2026-08-24T21:57:10Z	frame	set a high-rigor fail-closed exit predicate	shipping changes runtime selection across hardware and an incorrect qualification can silently reduce transcription quality	docs/plans/13-cross-hardware-whisper/overview.md	grounding in progress
2026-08-24T22:00:59Z	grounding	stopped production policy work until the admission evidence is bound to collected artifacts	caller-supplied cache, reset, driver, and ICD labels can currently manufacture passing gates	docs/plans/14-quality-safe-whisper-acceleration/grounding.md	architecture arena may proceed
2026-08-24T22:00:59Z	grounding	kept residency behind warmed one-shot qualification	this Iris Xe identity failed quality and prior resident probes missed the combined latency threshold	docs/plans/13-cross-hardware-whisper/research.md	resident implementation remains stopped
2026-08-24T22:05:10Z	prototype	tested upstream runtime decoding defaults before designing production policy	whether quality divergence was tied to the earlier aggressive beam and fallback settings was directly measurable	target/whisper-phase3-defaults-smoke/summary.md	German GPU WER was 2.151 pp worse; NOT VERIFIED
2026-08-24T22:05:10Z	prototype	tested greedy decoding with temperature fallback enabled	isolated no-fallback from beam width without changing product code	target/whisper-phase3-fallback-smoke/summary.md	Dutch GPU WER was 9.459 pp worse; NOT VERIFIED
2026-08-24T22:14:45Z	architecture	selected Candidate B as the arena base	independent judge scored its inference-process receipt and exact recovery contract highest at 96 of 100	docs/plans/14-quality-safe-whisper-acceleration/arena.md	grafted operational, caller, and phase details from A, C, and D
2026-08-24T22:14:45Z	plan	split the selected architecture into nine stop-gated phases	each phase now ends in a rerunnable check and Phases 1 through 6 cannot enable acceleration	docs/plans/14-quality-safe-whisper-acceleration/overview.md	Phase 1 approved for implementation
2026-08-24T22:33:39Z	phase 1	accepted status-marked STT run bundles with raw observation digests	partial, stale, failed, or mutated attempts must not look like completed benchmark evidence	commit 295c4a7; target/whisper-phase3-bundle-vulkan-smoke/status.json	VERIFIED on fake lifecycle harness and real CPU/Vulkan product smoke
2026-08-24T22:33:39Z	phase 1	kept the normal verifier build step and added an explicit existing-binary path	this host lacks libpipewire development metadata but CI must still build by default	ECHO_STT_BENCHMARK_SKIP_BUILD=1 ./scripts/verify-stt-benchmark.sh	verifier green with existing binary; default build blocked by host dependency
2026-08-24T23:00:02Z	phase 2	accepted artifact replay and recomputed host-matrix metrics	stored transcripts, WER, timing, backend, device, cache, reset, driver, and ICD fields can no longer authorize a result	commit 3565b9e; ./scripts/verify-stt-corpus.sh	VERIFIED with lifecycle and tamper cases
2026-08-24T23:00:02Z	phase 2	replayed a real one-repeat FLEURS bundle with a separate coverage manifest	proved generated fixture snapshots bind semantically to the richer source manifest and exercised zero-warmup evidence	target/whisper-phase3-defaults-bundle-smoke-decision/decision.md	STOP; German GPU WER +2.151 pp and admission evidence remains incomplete
2026-08-24T23:00:02Z	phase 2	rejected the prior 400-row result as admission input	it predates status-marked raw bundles, so its stored fields cannot be replayed safely	.audit/whisper-phase2-intel-base/runs.jsonl	legacy performance and quality history retained; admission replay refused
2026-08-24T23:38:04Z	phase 3	accepted a pinned inference-process Vulkan receipt	device, driver, and pipeline-cache UUIDs now come from the physical device selected after backend creation	commit 4e0aced; target/whisper-phase3-receipt-probe-main/summary.json	VERIFIED receipt gate; overall probe STOP only because one pair is below sample size
2026-08-24T23:38:04Z	phase 3	rejected the first receipt runtime build	its RUNPATH pointed at temporary build and Vulkan development-package directories, so the artifact would stop working after cleanup	readelf and ldd on /tmp/echo-phase3-rebuild-log.bmgQnv/runtime	rebuilt instead of accepting a misleading smoke pass
2026-08-24T23:38:04Z	phase 3	accepted the RPATH-free rebuilt runtime	all five project libraries resolve from the adjacent runtime and libvulkan resolves from the host system	/tmp/echo-phase3-rpath-free.heKM90/runtime	CPU emitted no receipt; Vulkan emitted one stable receipt
2026-08-25T00:06:08Z	phase 4	accepted the tool-owned Mesa cache cycle	the cycle binds an empty-to-populated cache transition to one receipt, Intel ICD manifest, driver library, and boot ID	commit 2989677; .audit/whisper-phase4-cache-cycle	VERIFIED 0 to 50 cache files with fresh and populated transcripts equal
2026-08-25T00:06:08Z	phase 4	kept first-use acceleration stopped	fresh-cache Vulkan took 8050.036 ms while CPU took 956.026 ms, so blocking the first dictation would be a severe regression	.audit/whisper-phase4-cache-cycle/cache-cycle.json	fresh warmup must be scheduled outside the user path after qualification
2026-08-25T00:06:08Z	phase 4	confirmed the populated-cache win	populated Vulkan took 421.821 ms while CPU took 1014.901 ms on the same receipt and transcript	.audit/whisper-phase4-cache-cycle/cache-cycle.json	one-pair hypothesis; Phase 5 quality and sample gates remain
